objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
pc001,Clearwater.JPG,,"Clearwater Beach on the Gulf of Mexico, Clearwater, Fla.",,,Color illustration of people playing and relazing on the beach.,beaches;tourism;picture postcards,"Clearwater, Florida",27.963989,-82.799957,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc002,Daytona-Auto-Club-House.JPG,,"Auto Club House, Daytona, Fla.","G. W. Morris, Portland, Maine",,"Color illustration of a group of antique, convertible automobiles driving by a building on the beach.",automobiles;beaches;picture postcards,"Daytona Beach, Florida",29.20706,-81.020737,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc003,Daytona-Speed-Racers.JPG,,"Famous Speed Racers on the Measured Mile, Daytona Beach, Fla.","Curt Teich & Co., Inc.",,Color illustration of five racing cars on the beach.,automobiles;automobile racing;beaches;picture postcards,"Daytona Beach, Florida",29.20706,-81.020737,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc004,Deland-DeLeonSprings.JPG,,"De Leon Springs, Near De Land, Fla.",Detroit Photographic Co.,1954,"Color photograph of an olh home on the bank of De Leon Springs, Florida.",bodies of water;dwellings;picture postcards,"De Leon Springs, Florida",29.16,-81.32557,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc005,Fernandina-Fishing-Boats .JPG,,"Fishing Boats At Fernandina, Fla.",,,"Black and white photgraph and two fishing boats docked side-by-side in Fernandina, Florida.",fishing boats;bodies of water;picture postcards,"Fernandina, Florida",30.66989,-81.45144,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc006,Florida-Taking-home-Alligator-Souvenir.JPG,,"Taking a Souvenir of the Sunshine State, Florida",,,Color illustraion of an alligator being tied to the front of a vintage car by one man as another observes.,souvenirs (keepsakes);tourism;alligators;picture postcards,Florida,,,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc007,FtLauderdale-Good-Catch.JPG,,"A good catch of sail and kingfish taken in the Gulf Stream off Fort Lauderdale, Fla.",,,"Three men stand next to Kingfish and Sailfish hanging from a ""City of Ft. Lauderdale Docks"" sign.",fishing;tourism;picture postcards,"Fort Lauderdale, Florida",26.124161,-80.143593,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc008,GulfBreeze.JPG,,"Gulf Breeze, Florida",,,"Color illustration of the Allan Davis Sea Shells storefront in Gulf Breeze, Florida","stores, retail;souvenirs (keepsakes);tourism;picture postcards","Gulf Breeze, Florida","30.36247980383596,",-87.17402846,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc009,Homestead-Andys-Bar.JPG,,"Andy's Bar, Longest Bar in 45 States",,,Color illustration of men standing in front of a long bar with two bartenders and a full wall of liquor bottles on shelves behind the bar.,bars (furniture);bars (drinking establishments);picture postcards,"Homestead, Florida",25.47201339,-80.45461179,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc010,Jacksonville-Old.JPG,,"A Street in Old Jacksonville, Fla.",,,Black and white photograph of a street in Old Jacksonville.,street scene;picture postcards,"Jacksonville, Florida",30.30438636,-81.65568,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc011,Jacksonville-Alligator-slide.JPG,,"Alligator splashing Into the water at the Alligator Farm, Jacksonville, Fla.",,,Color illustration of an alligator sliding down a slide into a small pool. A trainer stands nearby as  two onlookers observe from behind fencing.,alligators;alligator farming;tourism;picture postcards,"Jacksonville, Florida",30.30438636,-81.65568,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc012,Jacksonville-free-public-library.jpg,,Jacksonville Free Public Library,,,"Black and white photograph the Jacksonville Free Public Library, the first library built after the Great Fire of 1901 destroyed the city. The building was funded by Andrew Carnegie.",libraries;picture postcards,"Jacksonville, Florida",30.30438636,-81.65568,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc013,Jacksonville-Greetings.JPG,,Greetings from Jacksonville Florida,,,"Two color photographs of Jacksonville, Florida.",aerial photographs;street scene;picture postcards,"Jacksonville, Florida",30.30438636,-81.65568,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc014,Jacksonville-Ostrich-Farm.JPG,,"Oliver W. Jr., the Racing Ostrich at the Florida Ostrich Farm, Jacksonville, Fla.",,,"Black and white photogtaph of Oliver, W., Jr., the Racing Ostrich, pulling a cart with a man riding in it and holding the reins.",ostrich farms;ostriches;tourism;picture postcards,"Jacksonville, Florida",30.30438636,-81.65568,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc015,Jacksonville-Restaurants-Lebs.JPG,,"Leb Restaurant locations in Jacksonville, Fla., and Atlanta, Ga.",,,"Color illutration of two locations of Leb's Restaurant, a popular N.Y. deli-style restaurant owned by Ben and Mary Lebedin. It was in operation in Jacksonville until it closed in 1969 after 22-years in buisness.",restaurants;tourism;picture postcards,"Jacksonville, Florida",30.30438636,-81.65568,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc016,Jacksonville-Retail-Curios-store.JPG,,"Old Joe, the sassiest 'gator in Florida",T. C. Imeson,,"Advertisement for Thos. C. Imeson Curios store, seller of oranges, guava jelly and hornback alligator goods",alligators;picture postcards,"Jacksonville, Florida",30.30438636,-81.65568,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc017,Jacksonville-Roadside-Florida-Grill.JPG,,Florida Grill - Largest Shrimp Platter in Town!,,,"Color illustration of the Florida Grill at 32nd and Main in Jacksonville, Florida",restaurants;tourism;picture postcards,"Jacksonville, Florida",30.30438636,-81.65568,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc018,KeyWest-Sponge-Catch.JPG,,"Cleaning new Sponge Catch, Key West, Fla.",,,Three men wearing large-brimmed hats gather natural sponges into boats.,sponge fisheries;sponges;tourism;picture postcards,"Key West, Florida",24.5572999,-81.77994156,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc019,KeyWest-Harbor.JPG,,"Key West, Florida, Harbor",,,"Color illustration of warehouses, docks and boats in Key West Harbor.",harbors;tourism;picture postcards,"Key West, Florida",24.5572999,-81.77994156,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc020,KeyWest-FEC-Railway.JPG,,Florida East Coast Train on Key West Extention at Night,,,"Color illustration of the Florida East Coast Railway (FEC) Train on the Key West extention. Developed in 1867 by American tycoon,  Henry Morrison Flagler, is still in operation to this day under the current ownership of Grupo México.",railroad trains;picture postcards,"Key West, Florida",24.5572999,-81.77994156,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc021,Lawtey-Florida-Reptile-Lane .JPG,,"Florida Reptile Land and Gulf gas station, Lawtey, Florida",,,Color photograph and Florida Reptile Land which also served as a Gulf service station.,tourism;service stations;picture postcards,"Lawtey, Florida",30.04906741,-82.07361283,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc022,Miami-Crandon-Park.JPG,,"Water Nymphs, Crandon Park, Miami's Newest Beach, Florida",,,Color illustration of eight women in colorful bikinis walking side-by-side into the ocean.,tourism;picture postcards,"Key Biscayne, Florida",25.71023943,-80.15541305,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc023,Miami-PanAmAirwayGlobe.JPG,,"Pan American International Air Terminal, Miami",,,"Black and white photograph of a the International Pan American Airport, a former airport in Dinner Key, Miami, Florida operated by Pan American World Airways from 1932 to 1945. It was one of the world's largest airports and the main hub for air traffic between North and South America. ",airport terminals;tourism;picture postcards,"Miami, Florida",25.77929915,-80.19444206,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc024,MosquitoInlet-Lighthouse.JPG,,"Mosquito Inlet Light, Seacoast of Florida",,,"Photograph of the Mosquito Inlet lighthouse, now known as the Ponce de Leon Inlet Light,  located at Ponce de León Inlet in Central Florida. At 175 feet in height, it is the tallest lighthouse in the state and one of the tallest in the United States.",lighthouses;picture postcards,"Mosquito Inlet, Florida",29.08009901,-80.92829689,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc025,Ocala-Reeses-Snack-Bar.JPG,,Reese's Snack Bar 7 Restaurant,,,"Color illustrations of outdoor and interior views of Reese's Snack Bar & Restaurant, popular restaurant in Ocala, Florida, from 1938 until approximately 1968.",restaurants;tourism;picture postcards,"Ocala, Florida",29.19095258,-82.13827097,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc026,Ocklawaha-Forest-Steamers-Iluminated.JPG,,"Alligator on the shore of the Ocklawaha, Fla.","National Art Views Co., N. Y. City",,Black and white illustration of an alligator resting on the bank of a river with palm trees in the background.,alligators;picture postcards,"Ocklawaha, Florida",29.04218201,-81.93015575,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc027,Ocklawaha-Alligator.JPG,,"""The Illuminated Ocklawaha Forest."" A Weirdly Beautiful Radiance",,,"Color illustration of the steamboat Hiawatha, which travelled on the Oklawaha River for the Hart Line in the early 1900s.",steamboats;bodies of water;picture postcards,"Ocklawaha, Florida",29.04218201,-81.93015575,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc028,Orlando-Gatorland.JPG,,"Gatorland entrance, Orlando, Florida",,,"Color photograph on the entrance to Gatorland, Orlando, Florida, a large mouth of an alligator with large teeth that visitors walk through to enter the building.",alligators;tourism;picture postcards,"Orlando, Florida",28.51307975,-81.43545295,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc029,Orlando-Orange-Avenue.JPG,,"Vintage Orange Avenue, Orlando, Florida",,,"Black and white photograph of old Orange Avenue, Orlando, Florida. A dirt covered street in lined with wooden buildings, horse-drawn carriages are travelling down it and parked on both sides.",street scene;picture postcards,"Orlando, Florida",28.51307975,-81.43545295,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc030,Palatka-Wharf.JPG,,"At the Wharf, Palatka, Fla.",,,Black and white photograph of a docked steamboat with people waiting on the dock to board.,steamboats;picture postcards,"Palatka, Florida",29.65121382,-81.66624098,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc031,PanamaCity-Long-Beach-Casino.JPG,,"Long Beach Casino and Amusement Park, Panama City, Florida",,,Color illustration of people at the beach with beach umbrellas and swimming in the ocean. The Long Beach Casino and a ferris wheel are in the background.,tourism;picture postcards,"Panama City, Florida",30.18321245,-85.67378999,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc032,Pensacola-Bath-house.JPG,,"Bath House and Wharf, Magnolia Bluff, Pensacola, Florida",,,Color illustration of the Bath House building on the wharf sitting over the ocean water.,tourism;picture postcards,"Pensacola, Florida",30.44573497,-87.19961292,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc033,Tampa-Rocky-Point-Golf-Club.JPG,,"On the Links of the Rocky Point Golf Club, Tampa, Fla.",,,"Color illustration of men playing golf at the Rocky Point Golf Course. Established in 1911 by the Tampa Automobile Club as the Tampa Automobile and Golf Club, and changed its name to the Rocky Point Golf Club in 1917. It was one of the first golf courses in the state of Florida and is still open.",golf courses;golf;picture postcards,"Tampa, Florida",27.98592264,-82.43987083,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc034,TarponSprings-Greek-Sponge-Divers.JPG,,"Greek Sponge Divers, Tarpon Springs, Fla.",,,Color illustration of sponging boats on the water near a warehouse.,sponge fisheries;sponges;tourism;picture postcards,"Tarpon Springs, Florida",28.13910283,-82.7602374,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en
pc035,Titusville-Mending-Fishing-Nets.JPG,,"Mending Fishing Nets, Titusville, Fla.",,,Color illustration of two men wading in the water mending nets spread over long rows of wooden rails.,fishing nets;picture postcards,"Titusville, Florida",28.57757747,-80.82106505,"Postcard Collection, Jacksonville (Fla.) Public Library Digital Collections",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/InC-NC/1.0/?language=en